Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=7a9350f08ce7178f,Front-end Web Engineer,Success Korea 서울 서초구,,"2년 이상의 프론트 엔드 개발 경험 ? HTML5, CSS3 등 웹표준에 대한 높은 이해 ? ES6, React, Redux, Webpack, Babel, reselect 등 최신 기술에 대한 이해와 빠른 습득 능력 ? 디자..."
https://kr.indeed.com/viewjob?jk=754348a9c3f08d66,Full Stack Developer,"Miso, inc 서울",,"다면 마음껏 제안해주세요. * React 기반의 웹 개발 * 기술 수요에... Android: React Native, Native Android (Kotlin) * iOS: React Native, Objective-C..."
https://kr.indeed.com/viewjob?jk=80d3108dade97b0f,Back-end Developer,"Miso, inc 서울",,"Web Frontend: React JS, Redux, Webpack... Android: React Native, Native Android (Kotlin) * iOS: React Native, Objective-C..."
https://kr.indeed.com/viewjob?jk=7b953b7746669935,Frontend,유명메신저회사 서울 강남구,,"이해 - Javascript를 프레임워크를 사용하기 위한 도구가 아니라 언어로 공부를 한 적이 있는 경험 - React 또는 Angular2+ 등을 이용한 SPA 개발 경험 - Webpack, babel, ES6+ 등을 이용..."
https://kr.indeed.com/viewjob?jk=0744d1b79f40be6b,Senior Front-End Developer,Asiance 서울,,"end and Vue, React, WordPress for some cases. • HTML5, CSS3, jQuery 등을 front-end에 주로 사용하며 경우에 따라 Vue, React 혹은 WordPress 등의..."
https://kr.indeed.com/viewjob?jk=b255530651a0d66d,Java개발자.시니어급,온라인결제 서울,,"MySQL 등 RDBMS 경험 -리눅스 환경 개발 경험 [우대요건] -Frontend 개발 경험( React, Vue.js) -금융SI업무 수행 경험 -협업도구 경험(JIRA,Confluence,Bitbucket) [전형절..."
https://kr.indeed.com/viewjob?jk=fc43c87bb04552d9,Software Engineer - JavaScript Voice & V...,SendBird 서울,,"UDP, TLS, etc.) * Experience in native frameworks (e.g., React Native, Cordova, etc.) * Experience in learning and adopting..."
https://kr.indeed.com/viewjob?jk=a0c163a746ae785b,디지털마케팅본부 디지털 BA팀장,국내자본 저축은행 서울 구로구,,"또는 App 개발 및 설계 경험자 - 다수의 SI프로젝트 수행했으며 커뮤니케이션 능력 우수자 - JAVA, React 사용 프로젝트 경험자(전체 업무 경험이 아닌,이해 수준도 가능) - 커뮤니케이션 능력 우수자 - 금융기관..."
https://kr.indeed.com/viewjob?jk=0d5ed808a0f35351,Front-end 개발,"모바일식권, 기업 식대관리 솔루션 서울 강남구",,"자사의 제휴사에서 사용하는 Front-end 개발 - Webpack, React.js, Redux, MobX, Material-UI, Semantic... API 클라이언트 개발 경험 - React, Redux, MobX등 개발..."
https://kr.indeed.com/viewjob?jk=442ef84d58399a05,JavaScript Engineer,Success Korea 서울 서초구,,"최선의 해결법을 찾는 능력 우대사항 ? SDK 개발 경험 우대 ? TypeScript 경험 우대 ? React Native, Cordova 등 네이티브 프레임워크 경험 우대 ? 채팅/메세징 관련 구현 경험 우대 ? 병특..."
https://kr.indeed.com/viewjob?jk=f5db97b4d95cbc04,VP of Engineering,"Miso, inc 서울",,"Web Frontend: React JS, Redux, Webpack... Android: React Native, Native Android (Kotlin) * iOS: React Native, Objective-C..."
https://kr.indeed.com/viewjob?jk=f9d2781019dd50b9,Frontend,리테일-테크회사 서울 강남구,,"이해 - Javascript를 프레임워크를 사용하기 위한 도구가 아니라 언어로 공부를 한 적이 있는 경험 - React 또는 Angular2+ 등을 이용한 SPA 개발 경험 - Webpack, babel, ES6+ 등을 이용..."
https://kr.indeed.com/viewjob?jk=af232316c73a61c1,Front-end 개발자,"e스포츠.포털,커뮤니티 서울",,"[담당업무] -e스포츠(게이밍) 플랫폼 개발 [자격요건] - React, Angular, Vue.js 중 하나 이상 능숙한 자 -Cross-Browsing, 웹표준, 웹접근성에 대한 이해도가 높은 자 -ECMA script..."
https://kr.indeed.com/viewjob?jk=5588f78f3b93850a,Front-end 개발자,교육용 모바일앱 개발 및 서비스 서울,,"iOS/Android 앱 react-native 개발, 학교/광고/기관 대쉬보드 개발 [자격요건] -Angular JS, React JS 등... 극적으로 도입/적용해 본 경험 - React 개발 경험 2년 이상 [전형절..."
https://kr.indeed.com/viewjob?jk=07990c44daa19b02,Front-end 개발자,푸드테크서비스 서울,,"자격요건] -유관업무 경력 2~5년 -모던 자바스크립트 라이브러리 및 프레임워크 (Vue, Angular, React 등) 사용 경험(최소 1개이상 프로젝트) -팀단위 프로젝트 경험(원활한 커뮤니케이션 능력) -나이 : 37..."
https://kr.indeed.com/viewjob?jk=fe55c4a5b78656e9,Web Front-End개발 직원,서울시스템 서울 종로구,"시급 8,590원","React, Vue 등) - HTML(5), javascript, CSS, SASS, LESS, React 기본 지식 보유 - javascript(ES2016) 문법을 적극적으로 활용 하시는 분 [우대사항] - React용..."
https://kr.indeed.com/viewjob?jk=9f7d7cbe5e172a01,Front-end Developer,"Miso, inc 서울",,"경험을 보유하신 분 * React, React Native 개발 경험을... React JS, Redux, Webpack, Babel, JavaScript, CSS, HTML, node, UI, UX, React native"
https://kr.indeed.com/viewjob?jk=58ccec10129018e0,프론트엔드/백엔드 개발자 채용,에이치쓰리펫즈 아산 배방읍,,"프트웨어 개발자 직무내용 담당업무 - React.js, Node.js 기반의 클라우드 기반 서비스 개발 - React-Native를 활용한 멀티플랫폼... 조건 관계없음 학력 학력무관 키워드 [ React ] [반려동물 ] [개발자..."
https://kr.indeed.com/viewjob?jk=21f32b8f1827025d,쓰담 Server Developer,노마드스타 서울 서초구,,"API 서비스 개발 경험 - AWS, Firebase 등 클라우드 기반 서비스 개발 경험 - Vue.js, React, Angular 등 웹기반 클라이언트 개발 경험 - 데이터 모델링 및 데이터베이스 성능 최적화에 능숙한 분..."
